V,Cr,Ti,W,Zr,phases,slice_V,slice_Zr,temperature_k
0.92,0.005,0.03,0.04,0.005,"{""BCC_B2#1"": 0.9945408648542563, ""FCC_L12#1"": 0.0006813945028733029, ""HCP_A3#1"": 0.0027798711720548133, ""HCP_A3#2"": 0.0019978694708158717}",0.92,0.005,773.0
0.9199999999999999,0.005,0.035,0.035,0.005,"{""BCC_B2#1"": 0.9945989929998824, ""FCC_L12#1"": 0.000673317258880347, ""HCP_A3#1"": 0.0027515605464076866, ""HCP_A3#2"": 0.001976129194829454}",0.92,0.005,773.0
0.92,0.005,0.04,0.03,0.005,"{""BCC_B2#1"": 0.9946585963696356, ""FCC_L12#1"": 0.0006652051766003785, ""HCP_A3#1"": 0.0027224668851778613, ""HCP_A3#2"": 0.0019537315685859923}",0.92,0.005,773.0
0.92,0.005,0.045,0.025,0.005,"{""BCC_B2#1"": 0.9947196829918802, ""FCC_L12#1"": 0.0006570601149468884, ""HCP_A3#1"": 0.002692616621888058, ""HCP_A3#2"": 0.001930640271285007}",0.92,0.005,773.0
0.92,0.005,0.05,0.02,0.005,"{""BCC_B2#1"": 0.9947822814995394, ""FCC_L12#1"": 0.000648884106660925, ""HCP_A3#1"": 0.0026620420920852412, ""HCP_A3#2"": 0.0019067923017145108}",0.92,0.005,773.0
0.92,0.005,0.055,0.015,0.005,"{""BCC_B2#1"": 0.9948464554441118, ""FCC_L12#1"": 0.0006406794429392766, ""HCP_A3#1"": 0.0026307831431968704, ""HCP_A3#2"": 0.0018820819697522339}",0.92,0.005,773.0
0.92,0.005,0.06,0.01,0.005,"{""BCC_B2#1"": 0.9949123257409043, ""FCC_L12#1"": 0.0006324487985083146, ""HCP_A3#1"": 0.0025988894733916202, ""HCP_A3#2"": 0.0018563359871955915}",0.92,0.005,773.0
0.9199999999999999,0.005,0.065,0.005,0.005,"{""BCC_B2#1"": 0.9949801056441148, ""FCC_L12#1"": 0.0006241954156307898, ""HCP_A3#1"": 0.0025664240263047113, ""HCP_A3#2"": 0.0018292749139498853}",0.92,0.005,773.0
0.9199999999999999,0.005,0.07,0.0,0.005,"{""BCC_B2#1"": 0.9950501547172926, ""FCC_L12#1"": 0.0006159233713130606, ""HCP_A3#2"": 0.0025334678591159817, ""HCP_A3#3"": 0.0018004540522781989}",0.92,0.005,773.0
0.92,0.01,0.0,0.065,0.005,"{""BCC_B2#1"": 0.9942731728176369, ""FCC_L12#1"": 0.0007214486319174186, ""HCP_A3#1"": 0.0029079455754999002, ""HCP_A3#2"": 0.002097432974945722}",0.92,0.005,773.0
0.92,0.01,0.005,0.06,0.005,"{""BCC_B2#1"": 0.9943235919941145, ""FCC_L12#1"": 0.0007135754943741926, ""HCP_A3#1"": 0.002078908017786898, ""HCP_A3#2"": 0.0028839244937243305}",0.92,0.005,773.0
0.92,0.01,0.01,0.055,0.005,"{""BCC_B2#1"": 0.9943755336577217, ""FCC_L12#1"": 0.0007056590039287879, ""HCP_A3#1"": 0.0020597619104926, ""HCP_A3#2"": 0.0028590454278566617}",0.92,0.005,773.0
0.9199999999999999,0.01,0.015,0.05,0.005,"{""BCC_B2#1"": 0.9944289864383886, ""FCC_L12#1"": 0.0006977007357721797, ""HCP_A3#1"": 0.002039995900425711, ""HCP_A3#2"": 0.002833316925413299}",0.92,0.005,773.0
0.92,0.01,0.02,0.045,0.005,"{""BCC_B2#1"": 0.994483937203909, ""FCC_L12#1"": 0.0006897022729727674, ""HCP_A3#1"": 0.0028067499400870988, ""HCP_A3#2"": 0.0020196105830311865}",0.92,0.005,773.0
0.9199999999999999,0.01,0.025,0.04,0.005,"{""BCC_B2#1"": 0.9945403720022967, ""FCC_L12#1"": 0.0006816652195619687, ""HCP_A3#1"": 0.0027793581678083102, ""HCP_A3#2"": 0.0019986046103332425}",0.92,0.005,773.0
0.9199999999999999,0.01,0.03,0.035,0.005,"{""BCC_B2#1"": 0.9945982777243999, ""FCC_L12#1"": 0.0006735912171893745, ""HCP_A3#1"": 0.002751158439273913, ""HCP_A3#2"": 0.001976972619136987}",0.92,0.005,773.0
0.9199999999999999,0.01,0.035,0.03,0.005,"{""BCC_B2#1"": 0.9946576448702313, ""FCC_L12#1"": 0.0006654819676188491, ""HCP_A3#1"": 0.002722171209262014, ""HCP_A3#2"": 0.0019547019528878763}",0.92,0.005,773.0
0.9199999999999999,0.01,0.04,0.025,0.005,"{""BCC_B2#1"": 0.9947184720232862, ""FCC_L12#1"": 0.0006573392644261569, ""HCP_A3#1"": 0.0026924212032391668, ""HCP_A3#2"": 0.0019317675090483254}",0.92,0.005,773.0
0.92,0.01,0.045,0.02,0.005,"{""BCC_B2#1"": 0.9947807729832348, ""FCC_L12#1"": 0.0006491650388888013, ""HCP_A3#1"": 0.0026619383131330433, ""HCP_A3#2"": 0.0019081236647435001}",0.92,0.005,773.0
0.9199999999999999,0.01,0.05,0.015,0.005,"{""BCC_B2#1"": 0.9948445880478124, ""FCC_L12#1"": 0.0006409614274506923, ""HCP_A3#1"": 0.0026307588795673152, ""HCP_A3#2"": 0.0018836916451694633}",0.92,0.005,773.0
0.92,0.01,0.055,0.01,0.005,"{""BCC_B2#1"": 0.9949100017742855, ""FCC_L12#1"": 0.0006327308716575681, ""HCP_A3#1"": 0.002598927552485527, ""HCP_A3#2"": 0.001858339801571805}",0.92,0.005,773.0
0.92,0.01,0.06,0.005,0.005,"{""BCC_B2#1"": 0.9949771707978438, ""FCC_L12#1"": 0.0006244762660547973, ""HCP_A3#1"": 0.0025665000093078928, ""HCP_A3#2"": 0.0018318529267937187}",0.92,0.005,773.0
0.92,0.01,0.065,0.0,0.005,"{""BCC_B2#1"": 0.9950463670891455, ""FCC_L12#1"": 0.0006162011753176186, ""HCP_A3#1"": 0.0025335468995401384, ""HCP_A3#2"": 0.0018038848359967306}",0.92,0.005,773.0
0.92,0.015,0.0,0.06,0.005,"{""BCC_B2#1"": 0.9943237445208333, ""FCC_L12#1"": 0.0007138367304928232, ""HCP_A3#1"": 0.002079376276715793, ""HCP_A3#2"": 0.002883042471958425}",0.92,0.005,773.0
0.92,0.015,0.005,0.055,0.005,"{""BCC_B2#1"": 0.9943754667195059, ""FCC_L12#1"": 0.0007059251664726272, ""HCP_A3#1"": 0.0020603181889653406, ""HCP_A3#2"": 0.0028582899250560005}",0.92,0.005,773.0
0.9199999999999999,0.015,0.01,0.05,0.005,"{""BCC_B2#1"": 0.9944287011559546, ""FCC_L12#1"": 0.0006979714891881311, ""HCP_A3#1"": 0.0020406409362991335, ""HCP_A3#2"": 0.00283268641855811}",0.92,0.005,773.0
0.92,0.015,0.015,0.045,0.005,"{""BCC_B2#1"": 0.9944834335395106, ""FCC_L12#1"": 0.000689977281766741, ""HCP_A3#1"": 0.002806242567141839, ""HCP_A3#2"": 0.0020203466115808737}",0.92,0.005,773.0
0.9199999999999999,0.015,0.02,0.04,0.005,"{""BCC_B2#1"": 0.9945396480853228, ""FCC_L12#1"": 0.0006819441410872813, ""HCP_A3#1"": 0.00277897156689356, ""HCP_A3#2"": 0.0019994362066961093}",0.92,0.005,773.0
0.9199999999999999,0.015,0.025,0.035,0.005,"{""BCC_B2#1"": 0.9945973287650567, ""FCC_L12#1"": 0.0006738736919044163, ""HCP_A3#1"": 0.00275088953635435, ""HCP_A3#2"": 0.001977908006684158}",0.92,0.005,773.0
0.92,0.015,0.03,0.03,0.005,"{""BCC_B2#1"": 0.9946564614348665, ""FCC_L12#1"": 0.0006657676053880811, ""HCP_A3#1"": 0.0027220159270725255, ""HCP_A3#2"": 0.0019557550326733033}",0.92,0.005,773.0
0.9199999999999999,0.015,0.035,0.025,0.005,"{""BCC_B2#1"": 0.9947170373151387, ""FCC_L12#1"": 0.0006576276247548174, ""HCP_A3#1"": 0.002692374051684047, ""HCP_A3#2"": 0.001932961008422348}",0.92,0.005,773.0
0.92,0.015,0.04,0.02,0.005,"{""BCC_B2#1"": 0.9947790585715545, ""FCC_L12#1"": 0.0006494556019799226, ""HCP_A3#1"": 0.002661991801187971, ""HCP_A3#2"": 0.0019094940252775473}",0.92,0.005,773.0
0.92,0.015,0.045,0.015,0.005,"{""BCC_B2#1"": 0.9948425471760328, ""FCC_L12#1"": 0.0006412535515107526, ""HCP_A3#1"": 0.0026309026618456612, ""HCP_A3#2"": 0.001885296610610992}",0.92,0.005,773.0
0.92,0.015,0.05,0.01,0.005,"{""BCC_B2#1"": 0.994907558900518, ""FCC_L12#1"": 0.0006330237297757988, ""HCP_A3#1"": 0.002599147190330325, ""HCP_A3#2"": 0.0018602701793758501}",0.92,0.005,773.0
0.9199999999999999,0.015,0.055,0.005,0.005,"{""BCC_B2#1"": 0.9949742053257652, ""FCC_L12#1"": 0.0006247687533176186, ""HCP_A3#1"": 0.0025667751738427357, ""HCP_A3#2"": 0.0018342507470743747}",0.92,0.005,773.0
0.92,0.015,0.06,0.0,0.005,"{""BCC_B2#1"": 0.9950426882677095, ""FCC_L12#1"": 0.0006164917736044083, ""HCP_A3#1"": 0.0025338487941019812, ""HCP_A3#2"": 0.0018069711645842014}",0.92,0.005,773.0
0.92,0.02,0.0,0.055,0.005,"{""BCC_B2#1"": 0.9943752001462156, ""FCC_L12#1"": 0.00070619844015119, ""HCP_A3#1"": 0.0020609667807692856, ""HCP_A3#2"": 0.0028576346328640398}",0.92,0.005,773.0
0.9199999999999999,0.02,0.005,0.05,0.005,"{""BCC_B2#1"": 0.9944282063994825, ""FCC_L12#1"": 0.0006982496575509124, ""HCP_A3#1"": 0.0020413812980560504, ""HCP_A3#2"": 0.002832162644910575}",0.92,0.005,773.0
0.92,0.02,0.01,0.045,0.005,"{""BCC_B2#1"": 0.9944827118550638, ""FCC_L12#1"": 0.0006902600041061134, ""HCP_A3#1"": 0.002805848393181347, ""HCP_A3#2"": 0.002021179747648882}",0.92,0.005,773.0
0.9199999999999999,0.02,0.015,0.04,0.005,"{""BCC_B2#1"": 0.9945386993735079, ""FCC_L12#1"": 0.0006822310733667419, ""HCP_A3#1"": 0.0027787046371466288, ""HCP_A3#2"": 0.0020003649159785857}",0.92,0.005,773.0
0.9199999999999999,0.02,0.02,0.035,0.005,"{""BCC_B2#1"": 0.9945961507261907, ""FCC_L12#1"": 0.0006741644787110377, ""HCP_A3#1"": 0.0027507468824289802, ""HCP_A3#2"": 0.001978937912669457}",0.92,0.005,773.0
0.92,0.02,0.025,0.03,0.005,"{""BCC_B2#1"": 0.9946550482165296, ""FCC_L12#1"": 0.0006660618688144226, ""HCP_A3#1"": 0.00272199373047605, ""HCP_A3#2"": 0.0019568961841802215}",0.92,0.005,773.0
0.9199999999999999,0.02,0.03,0.025,0.005,"{""BCC_B2#1"": 0.9947153773713087, ""FCC_L12#1"": 0.0006579249485207877, ""HCP_A3#1"": 0.0026924673136264525, ""HCP_A3#2"": 0.0019342303665442736}",0.92,0.005,773.0
0.9199999999999999,0.02,0.035,0.02,0.005,"{""BCC_B2#1"": 0.9947771312895091, ""FCC_L12#1"": 0.000649755508282677, ""HCP_A3#1"": 0.0026621938727330874, ""HCP_A3#2"": 0.0019109193294754789}",0.92,0.005,773.0
0.92,0.02,0.04,0.015,0.005,"{""BCC_B2#1"": 0.9948403175781697, ""FCC_L12#1"": 0.0006415554669128787, ""HCP_A3#1"": 0.00263120456240907, ""HCP_A3#2"": 0.0018869223925084778}",0.92,0.005,773.0
0.92,0.02,0.045,0.01,0.005,"{""BCC_B2#1"": 0.9949049693369317, ""FCC_L12#1"": 0.0006333269346725279, ""HCP_A3#1"": 0.0025995366155796727, ""HCP_A3#2"": 0.001862167112815995}",0.92,0.005,773.0
0.9199999999999999,0.02,0.05,0.005,0.005,"{""BCC_B2#1"": 0.9949711624903483, ""FCC_L12#1"": 0.000625072307146215, ""HCP_A3#1"": 0.002567235050570788, ""HCP_A3#2"": 0.001836530151934863}",0.92,0.005,773.0
0.92,0.02,0.055,0.0,0.005,"{""BCC_B2#1"": 0.9950390430239856, ""FCC_L12#1"": 0.0006167944049355013, ""HCP_A3#1"": 0.002534355186572, ""HCP_A3#2"": 0.0018098073845070031}",0.92,0.005,773.0
0.9199999999999999,0.025,0.0,0.05,0.005,"{""BCC_B2#1"": 0.9938516963983344, ""C15_LAVES#1"": 0.0006838015154946864, ""FCC_L12#1"": 0.0006956153938120069, ""HCP_A3#1"": 0.0019986703988727436, ""HCP_A3#2"": 0.0027702162934860656}",0.92,0.005,773.0
0.92,0.025,0.005,0.045,0.005,"{""BCC_B2#1"": 0.9939480262107073, ""C15_LAVES#1"": 0.0006297039387688705, ""FCC_L12#1"": 0.0006879858883724918, ""HCP_A3#1"": 0.001983363079596037, ""HCP_A3#2"": 0.0027509208825550946}",0.92,0.005,773.0
0.9199999999999999,0.025,0.01,0.04,0.005,"{""BCC_B2#1"": 0.994059185813906, ""C15_LAVES#1"": 0.0005607072969465537, ""FCC_L12#1"": 0.0006803497228302545, ""HCP_A3#1"": 0.002731672846943961, ""HCP_A3#2"": 0.001968084319373217}",0.92,0.005,773.0
0.9199999999999999,0.025,0.015,0.035,0.005,"{""BCC_B2#1"": 0.9941865429291493, ""C15_LAVES#1"": 0.0004754689853232966, ""FCC_L12#1"": 0.0006727062505471626, ""HCP_A3#1"": 0.0027124607843622014, ""HCP_A3#2"": 0.0019528210506179432}",0.92,0.005,773.0
0.92,0.025,0.02,0.03,0.005,"{""BCC_B2#1"": 0.9943316024380193, ""C15_LAVES#1"": 0.0003725124176300205, ""FCC_L12#1"": 0.0006650548316120687, ""HCP_A3#1"": 0.0026932730566256104, ""HCP_A3#2"": 0.0019375572561131534}",0.92,0.005,773.0
0.9199999999999999,0.025,0.025,0.025,0.005,"{""BCC_B2#1"": 0.9944960207534818, ""C15_LAVES#1"": 0.00025021369810757885, ""FCC_L12#1"": 0.0006573948343726814, ""HCP_A3#1"": 0.0026740977723067397, ""HCP_A3#2"": 0.001922272941731238}",0.92,0.005,773.0
0.92,0.025,0.03,0.02,0.005,"{""BCC_B2#1"": 0.9946816214797116, ""C15_LAVES#1"": 0.00010678738403059172, ""FCC_L12#1"": 0.0006497256373110911, ""HCP_A3#1"": 0.0026549227670707976, ""HCP_A3#2"": 0.0019069427318762545}",0.92,0.005,773.0
0.9199999999999999,0.025,0.035,0.015,0.005,"{""BCC_B2#1"": 0.994837888654714, ""FCC_L12#1"": 0.0006418668602182548, ""HCP_A3#1"": 0.0026316554388186534, ""HCP_A3#2"": 0.0018885890462492525}",0.92,0.005,773.0
0.92,0.025,0.04,0.01,0.005,"{""BCC_B2#1"": 0.994902212252615, ""FCC_L12#1"": 0.0006336401010785639, ""HCP_A3#1"": 0.0026000852338946725, ""HCP_A3#2"": 0.0018640624124117197}",0.92,0.005,773.0
0.9199999999999999,0.025,0.045,0.005,0.005,"{""BCC_B2#1"": 0.9949680059403718, ""FCC_L12#1"": 0.0006253864356058897, ""HCP_A3#1"": 0.0025678668910920667, ""HCP_A3#2"": 0.0018387407329303576}",0.92,0.005,773.0
0.9199999999999999,0.025,0.05,0.0,0.005,"{""BCC_B2#1"": 0.9950353715286359, ""FCC_L12#1"": 0.0006171084211368974, ""HCP_A3#1"": 0.002535050180652269, ""HCP_A3#2"": 0.0018124698695750837}",0.92,0.005,773.0
0.92,0.03,0.0,0.045,0.005,"{""BCC_B2#1"": 0.993405903124701, ""C15_LAVES#1"": 0.001273432376786326, ""FCC_L12#1"": 0.0006853272173572704, ""HCP_A3#1"": 0.0019432592423837402, ""HCP_A3#2"": 0.002692078038771486}",0.92,0.005,773.0
0.92,0.03,0.005,0.04,0.005,"{""BCC_B2#1"": 0.9934890359180395, ""C15_LAVES#1"": 0.0012324458942516363, ""FCC_L12#1"": 0.0006777351185539654, ""HCP_A3#1"": 0.002672888967860681, ""HCP_A3#2"": 0.0019278941012940971}",0.92,0.005,773.0
0.9199999999999999,0.03,0.01,0.035,0.005,"{""BCC_B2#1"": 0.9935864442922926, ""C15_LAVES#1"": 0.0011771281283085827, ""FCC_L12#1"": 0.000670136898323574, ""HCP_A3#1"": 0.002653744834924076, ""HCP_A3#2"": 0.001912545846150958}",0.92,0.005,773.0
0.92,0.03,0.015,0.03,0.005,"{""BCC_B2#1"": 0.9936994636489235, ""C15_LAVES#1"": 0.001106173102811627, ""FCC_L12#1"": 0.0006625318983574413, ""HCP_A3#1"": 0.0026346343803258033, ""HCP_A3#2"": 0.0018971969695817249}",0.92,0.005,773.0
0.9199999999999999,0.03,0.02,0.025,0.005,"{""BCC_B2#1"": 0.9938295656246587, ""C15_LAVES#1"": 0.0010181434443100785, ""FCC_L12#1"": 0.0006549194656363344, ""HCP_A3#1"": 0.0026155461581402585, ""HCP_A3#2"": 0.001881825307254312}",0.92,0.005,773.0
0.92,0.03,0.025,0.02,0.005,"{""BCC_B2#1"": 0.9939783723933672, ""C15_LAVES#1"": 0.0009114577281462169, ""FCC_L12#1"": 0.0006472989542177515, ""HCP_A3#1"": 0.002596468522302508, ""HCP_A3#2"": 0.0018664024019665725}",0.92,0.005,773.0
0.92,0.03,0.03,0.015,0.005,"{""BCC_B2#1"": 0.9941476720855904, ""C15_LAVES#1"": 0.0007843773011785848, ""FCC_L12#1"": 0.0006396697275213078, ""HCP_A3#1"": 0.0025773896092125413, ""HCP_A3#2"": 0.0018508912764971842}",0.92,0.005,773.0
0.92,0.03,0.035,0.01,0.005,"{""BCC_B2#1"": 0.9943394352892154, ""C15_LAVES#1"": 0.000634992831184433, ""FCC_L12#1"": 0.0006320311612740246, ""HCP_A3#1"": 0.002558297318170024, ""HCP_A3#2"": 0.0018352434001560217}",0.92,0.005,773.0
0.9199999999999999,0.03,0.04,0.005,0.005,"{""BCC_B2#1"": 0.9945558325292458, ""C15_LAVES#1"": 0.0004612109781541357, ""FCC_L12#1"": 0.0006243826473363557, ""HCP_A3#1"": 0.0025391792896773385, ""HCP_A3#2"": 0.0018193945555860385}",0.92,0.005,773.0
0.92,0.03,0.045,0.0,0.005,"{""BCC_B2#1"": 0.9947992525309974, ""C15_LAVES#1"": 0.00026074178311270586, ""FCC_L12#1"": 0.000616723598706313, ""HCP_A3#1"": 0.0025200228819584067, ""HCP_A3#2"": 0.0018032592052251053}",0.92,0.005,773.0
0.9199999999999999,0.035,0.0,0.04,0.005,"{""BCC_B2#1"": 0.993051430486681, ""C15_LAVES#1"": 0.0017529045869833474, ""FCC_L12#1"": 0.0006754832476993784, ""HCP_A3#1"": 0.0018955351971391967, ""HCP_A3#2"": 0.0026246464814973446}",0.92,0.005,773.0
0.9199999999999999,0.035,0.005,0.035,0.005,"{""BCC_B2#1"": 0.9931243528747781, ""C15_LAVES#1"": 0.0017220893364361684, ""FCC_L12#1"": 0.000667920334181394, ""HCP_A3#1"": 0.001880091205535315, ""HCP_A3#2"": 0.0026055462490687546}",0.92,0.005,773.0
0.9199999999999999,0.035,0.01,0.03,0.005,"{""BCC_B2#1"": 0.9932111777657741, ""C15_LAVES#1"": 0.0016773386479240577, ""FCC_L12#1"": 0.0006603516918547682, ""HCP_A3#1"": 0.0018646448100158042, ""HCP_A3#2"": 0.00258648708443097}",0.92,0.005,773.0
0.9199999999999999,0.035,0.015,0.025,0.005,"{""BCC_B2#1"": 0.9933132153055562, ""C15_LAVES#1"": 0.0016173785014986, ""FCC_L12#1"": 0.000652776658464337, ""HCP_A3#1"": 0.0018491718003042586, ""HCP_A3#2"": 0.002567457734176504}",0.92,0.005,773.0
0.9199999999999999,0.035,0.02,0.02,0.005,"{""BCC_B2#1"": 0.9934319107231812, ""C15_LAVES#1"": 0.0015408070297883683, ""FCC_L12#1"": 0.0006451945766200489, ""HCP_A3#1"": 0.001833640863386483, ""HCP_A3#2"": 0.0025484468070241495}",0.92,0.005,773.0
0.9199999999999999,0.035,0.025,0.015,0.005,"{""BCC_B2#1"": 0.9935688583553502, ""C15_LAVES#1"": 0.0014460829941099007, ""FCC_L12#1"": 0.0006376047959802997, ""HCP_A3#1"": 0.0025294427622310363, ""HCP_A3#2"": 0.0018180110923285485}",0.92,0.005,773.0
0.92,0.035,0.03,0.01,0.005,"{""BCC_B2#1"": 0.9937258165364143, ""C15_LAVES#1"": 0.0013315142842365802, ""FCC_L12#1"": 0.0006300066761286172, ""HCP_A3#1"": 0.0025104338949536544, ""HCP_A3#2"": 0.0018022286082666704}",0.92,0.005,773.0
0.9199999999999999,0.035,0.035,0.005,0.005,"{""BCC_B2#1"": 0.9939047232067364, ""C15_LAVES#1"": 0.0011952469049421432, ""FCC_L12#1"": 0.0006223995903746485, ""HCP_A3#1"": 0.0024914083188048055, ""HCP_A3#2"": 0.0017862219791421783}",0.92,0.005,773.0
0.9199999999999999,0.035,0.04,0.0,0.005,"{""BCC_B2#1"": 0.9941077119886137, ""C15_LAVES#1"": 0.0010352551290738756, ""FCC_L12#1"": 0.0006147829307866076, ""HCP_A3#1"": 0.0017698960056415074, ""HCP_A3#2"": 0.0024723539458843774}",0.92,0.005,773.0
0.9199999999999999,0.04,0.0,0.035,0.005,"{""BCC_B2#1"": 0.9927618855781277, ""C15_LAVES#1"": 0.0021538024180690466, ""FCC_L12#1"": 0.0006659905093091696, ""HCP_A3#1"": 0.0018533128418013875, ""HCP_A3#2"": 0.002565008652692941}",0.92,0.005,773.0
0.92,0.04,0.005,0.03,0.005,"{""BCC_B2#1"": 0.9928267817336626, ""C15_LAVES#1"": 0.0021310225606549155, ""FCC_L12#1"": 0.0006584505074094908, ""HCP_A3#1"": 0.001837763715327531, ""HCP_A3#2"": 0.002545981482945409}",0.92,0.005,773.0
0.9199999999999999,0.04,0.01,0.025,0.005,"{""BCC_B2#1"": 0.992905345191376, ""C15_LAVES#1"": 0.002094575166663718, ""FCC_L12#1"": 0.0006509050582821256, ""HCP_A3#1"": 0.0018221839497840984, ""HCP_A3#2"": 0.00252699063389414}",0.92,0.005,773.0
0.92,0.04,0.015,0.02,0.005,"{""BCC_B2#1"": 0.9929988657978099, ""C15_LAVES#1"": 0.0020432161636103623, ""FCC_L12#1"": 0.0006433535010411586, ""HCP_A3#1"": 0.001806539785350302, ""HCP_A3#2"": 0.002508024752188056}",0.92,0.005,773.0
